DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Attack_Stab,Spear,0,0,,Bullet,Light,Thrust,,,,,false,0.6,1,1,1,1,1,16,16,13,0,1.1,0,0.8,0,1.2,0,0.8,0,1.1,0,0.8,0,1,1,1,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Attack_HeavyStab,Spear,0,0,,Bullet,Heavy,Thrust,,,,,false,0.85,1,1,3,3,3,32,32,36,0,2,0,0.8,0,2.2,0,0.8,0,2,0,0.8,0,1,1,1,Small,Small,0,0.66,1,1,0,,0.1625,0.325
Attack_Slash,Spear,0,0,,Bullet,Light,Slash,,,,,false,0.7,1,1,2,2,3,24,24,32,0,2,0,0.8,0,1.8,0,0.8,0,2,0,0.8,0,1,1,1,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Attack_Sweep,Spear,0,0,,Bullet,Heavy,Slash,,,,,false,0.2,1,1,5,5,2,24,24,17,0,1.4,0,0.8,0,1.3,0,0.8,0,1.4,0,0.8,0,1,1,1,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Attack_SweepAdditive,Spear,0,0,,Bullet,Light,Slash,,,,,false,0.3,1,1,0,0,2,12,24,17,0,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0,1,1,1,,,0,0.33,1,0,0,,0.1625,0.325
Attack_SweepFinisher,Spear,0,0,,Bullet,Light,Slash,,,,,false,0.3,1,1,2,2,3,22,22,32,0,1.2,0,0.8,0,1,0,0.8,0,1.2,0,0.8,0,1,1,1,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Attack_DodgeStab,Spear,0,0,,Bullet,Light,Thrust,,,,,false,0.45,1,1,1,1,1,14,14,11,0,0.9,0,0.8,0,0.7,0,0.8,0,0.9,0,0.8,0,1,1,1,Small,Small,0,0.33,1,1,0,,0.1625,0.325
Attack_KneeLeap,Spear,0,0,,Bullet,Light,Strike,,,,,false,0.3,1,1,3,3,2,30,30,22,0,2.4,0,0.8,0,1.8,0,0.8,0,2.4,0,0.8,0,1,1,1,Small,Small,0,0.8,1,1,0,,0.1625,0.325
Attack_Kick,Spear,0,0,,Bullet,Heavy,Strike,,,,,false,0.3,1,1,4,4,3,16,16,34,0,5.4,0.5,0.8,0,3.4,0,0.8,0,5.4,0.5,0.8,0,1,1,1,Small,Small,0,1,1,1,0,,0.1625,0.325
Attack_DashStab,Spear,0,0,,Bullet,Heavy,Thrust,,,,,false,0.85,1,1,4,4,3,32,32,38,0,7,0,0.8,0,5,0,0.8,0,7,0,0.8,0,1,1,1,Small,Small,0,1.2,1,1,0,,0.1625,0.325
Attack_DashBodyL,Spear,0,0,,Bullet,Heavy,Strike,,,,,false,0.3,1,1,2,2,2,24,24,30,-2,0.6,0,0.8,-1.4,0.4,0,0.8,-2,0.6,0,0.8,0,1,1,1,Small,Small,0,0.7,1,1,0,,0.1625,0.325
Attack_DashBodyR,Spear,0,0,,Bullet,Heavy,Strike,,,,,false,0.3,1,1,2,2,2,24,24,30,2,0.6,0,0.8,1.4,0.4,0,0.8,2,0.6,0,0.8,0,1,1,1,Small,Small,0,0.7,1,1,0,,0.1625,0.325
