DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Unarmed,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.65,1,1,3,3,3,30,20,30,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,0.5,,1,Small,Small,1,1.1,1,1,0.1625,0.325
Log_Swing_Attack,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.6,1,1,3,3,3,30,20,30,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,0.5,,1,Small,Small,1,1.5,1,1,0.1625,0.325
Log_Overhead_Slam_Attack,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.8,1,1,4,4,4,30,20,30,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,0.5,,1,Small,Small,1,2,1,1,0.1625,0.325
Log_Swing_Combo,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.5,1,1,2,2,2,15,20,15,0,6,0,0.8,0,0,0,0.8,0,6,0,0.8,0,0.5,,1,Small,Small,1,1.5,1,1,0.1625,0.325
Log_Overhead_Slam_Combo,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.7,1,1,4,4,4,30,20,30,0,4.5,0,0.8,0,0,0,0.8,0,4.5,0,0.8,0,0.5,,1,Small,Small,1,2,1,1,0.1625,0.325
Log_Vines_Of_Destruction_Attack,ClubSpriggan,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.65,1,1,3,3,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1.1,1,1,0.1625,0.325
Log_Disabling_Roots_Attack,ClubSpriggan,0,0,,Bullet,Heavy,Thrust,,,,AI_CorruptionDMG_50,,Deflect_Default,false,0.9,1,1,4,4,4,30,20,30,0,4,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.5,,1,Small,Small,1,2,1,1,0.1625,0.325
Attack_Structure,ClubSpriggan,0,0,,Bullet,,Siege,,,,,,Deflect_Default,false,2,1,1,3,2,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,2,1,1,0.1625,0.325
Nav,ClubSpriggan,0,0,,Bullet,,Siege,,,,,,Deflect_Default,false,0.05,1,1,1,1,1,15,10,15,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,1,1,1,1,0.1625,0.325
Deflect_Default,Unarmed,1,0,,,,Standard,,,,,,Deflect_Default,,0,0,,2,2,,0,0,,0,1,0,0.8,0,0,0,0,,,,,0,0,,0,Small,,0,0.45,1,1,0.1625,0.325
