DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Slash,Unarmed,0,0,Bullet,Light,Slash,,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,0.65,1,1,0,1,0,20,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
Slash_Combo,Unarmed,0,0,Bullet,Light,Slash,,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,0.5,1,1,0,1,0,20,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
Overhead,Unarmed,0,0,Bullet,Heavy,Strike,true,AI_FireNaga_Flamethrower_DoT,,Deflect_Default,false,2,1,1,4,4,0,30,15,10,0,1,0,0.8,0,1,0,0.8,0.8,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.8,1,0,,,0.1625,0.325
Fire_Shot,FireStaff_Proj,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,0.8,1,1,0,1,0,20,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
Fire_Shot_Vent,FireStaff_Proj,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,1,1,1,0,1,0,20,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
Flamethrower_Weak,Unarmed,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,0.8,1,1,0,1,0,10,5,10,0,0,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.8,1,0,,,0.1625,0.325
Flamethrower_Medium,Unarmed,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,1,1,1,0,1,0,20,10,10,0,0,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1,1,0,,,0.1625,0.325
Flamethrower_Strong,Unarmed,0,0,Bullet,Heavy,Fire,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,1.6,1,1,4,4,0,30,15,10,0,1,0,0.8,0,1,0,0.8,0.8,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,,0.1625,0.325
LavaSpawn_Hit,Unarmed,0,0,Bullet,Heavy,Strike,true,,false,Deflect_Default,false,1,1,1,4,4,0,30,5,10,0,2,0,0.8,0,1,0,0.8,0.8,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.8,1,0,,,0.1625,0.325
Intro,Unarmed,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0,1,1,4,4,0,20,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,,,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,,,,,0.1625,0.325
