CreatureType,OutOfCombatVisionDistanceOffset,InCombatVisionDistanceOffset,OutOfCombatAudioRadiusOffset,InCombatAudioRadiusOffset,IgnoreStealthDecoyThreat
Dungeon,-9,-30,-100,-100,false
Dungeon-,-9,-30,-100,-100,false
Catacombs,-9,-30,-100,-100,false
Catacombs-,-9,-30,-100,-100,false
Elite,-8.5,-30,-100,-100,false
Elite-,-8.5,-30,-100,-100,false
Named_Solo,-8.5,-30,-100,-100,false
Named_Solo+,-8.5,-30,-100,-100,false
Solo,-9.5,-30,-100,-100,false
Solo-,-9.5,-30,-100,-100,false
Solo+,-9.5,-30,-100,-100,false
OutpostRushSolo,-9.5,-30,-100,-100,false
OutpostRushSolo+,-9.5,-30,-100,-100,false
Solo_StarterBeach,-9.5,-30,-100,-100,false
Solo-_StarterBeach,-9.5,-30,-100,-100,false
Solo+_StarterBeach,-9.5,-30,-100,-100,false
Dungeon_NoCurrency,-9,-30,-100,-100,false
Dungeon-_NoCurrency,-9,-30,-100,-100,false
