AbilityID,DisplayName,Description,UICategory,UISpellForManaCheck,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,ResetConsecutiveOnSuccess,TrackHitCount,MaxTrackedHitCounts,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,StatusEffect,StatusEffectCategories,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,DamageTableStatusEffectOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,TargetStatusEffectDurationMult,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Ability_Firestaff_PillarofFire,@Ability_Firestaff_PillarofFire,@Ability_Firestaff_PillarofFire_description,Magic Damage,FireStaff_PillarOfFire,firestaffAbility2,,Play_UI_WeaponSkills_FireStaff_Ability_1,,,,Fire,,0,0,0,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Firestaff_PillarofFire,,,,,,,
Upgrade_Firestaff_PillarofFire_Dmg,@Upgrade_Firestaff_PillarofFire_Dmg,@Upgrade_Firestaff_PillarofFire_Dmg_description,Magic Damage,,firestaffAbility2_mod1,,,,,,Fire,Ability_Firestaff_PillarofFire,0,1,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,Firestaff_Pillar,,,,,,,,,,,,,,,,100,Equal,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_PillarofFire_Mana,@Upgrade_Firestaff_PillarofFire_Mana,@Upgrade_Firestaff_PillarofFire_Mana_description,Magic Damage,,firestaffAbility1_mod2,,,,,,Fire,Ability_Firestaff_PillarofFire,0,2,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,Firestaff_Pillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Firestaff_MeteorShower,@Ability_Firestaff_MeteorShower,@Ability_Firestaff_MeteorShower_description,Magic Damage,FireStaff_Storm,firestaffAbility3,,Play_UI_WeaponSkills_FireStaff_Ability_2,,,,Fire,,0,1,2,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Firestaff_MeteorShower,,,,,,,
Upgrade_Firestaff_MeteorShower_Mana,@Upgrade_Firestaff_MeteorShower_Mana,@Upgrade_Firestaff_MeteorShower_Mana_description,Magic Damage,FireStaff_Storm_Mana_Upgrade,firestaffAbility3_mod1,,,,,,Fire,Ability_Firestaff_MeteorShower,0,2,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,FireStaff_Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_MeteorShower_Extra,@Upgrade_Firestaff_MeteorShower_Extra,@Upgrade_Firestaff_MeteorShower_Extra_description,Magic Damage,,swordability7,,,,,,Fire,Ability_Firestaff_MeteorShower,0,3,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,FireStaff_Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_MeteorShower_More,@Upgrade_Firestaff_MeteorShower_More,@Upgrade_Firestaff_MeteorShower_More_description,Magic Damage,,firestaffAbility1_mod3,,,,,,Fire,Ability_Firestaff_MeteorShower,0,4,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,FireStaff_Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_FireStaff_MeteorShower_DamageUpgrade,,,,,,Status_FireStaff_MeteorShower_Damage,,,,,,,,,,,,,,
Ability_Firestaff_Fireball,@Ability_Firestaff_Fireball,@Ability_Firestaff_Fireball_description,Magic Damage,FireStaff_Siege_Shoot,firestaffAbility1,,Play_UI_WeaponSkills_FireStaff_Ability_3,,,,Fire,,0,2,4,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Firestaff_Fireball,,,,,,,
Upgrade_Firestaff_Fireball_Dur,@Upgrade_Firestaff_Fireball_Dur,@Upgrade_Firestaff_Fireball_Dur_description,Magic Damage,,firestaffAbility1_mod1,,,,,,Fire,Ability_Firestaff_Fireball,0,3,4,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_Fireball_Mana,@Upgrade_Firestaff_Fireball_Mana,@Upgrade_Firestaff_Fireball_Mana_description,Magic Damage,,lifestaffPassive2,,,,,,Fire,Ability_Firestaff_Fireball,0,4,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,Firestaff_Siege,Firestaff_Siege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,NO_ENTRY ,true,,,,,,,,,,,,,,,,,,,,,,ActiveWeapon,,-0.07,,,,
