AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,EquipWhenUnsheathed,RequiredAbilityId,RequiredEquippedAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,MaxTrackedHitCounts,ResetConsecutiveOnSuccess,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,IgnoreDisabledAttackTypes,DamageTypes,StatusEffect,StatusEffectCategories,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,stagger damage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,RangedAttackNameOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,DisableCastSpellDurability,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,NumStatusEffectsToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Ability_Sword_ReverseStab,@Ability_Sword_ReverseStab,@Ability_Sword_ReverseStab_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability01.png,,Play_UI_WeaponSkills_Sword_Ability_1,,,,Sword,,,,0,1,0,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Sword_ReverseStab,,,,,,,
Upgrade_Sword_ReverseStab_Grit,@Upgrade_Sword_ReverseStab_Grit,@Upgrade_Sword_ReverseStab_Grit_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability01_Mod01.png,,,,,,Sword,,Ability_Sword_ReverseStab,,0,2,0,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Sword_ReverseStab_CDRonHit,@Upgrade_Sword_ReverseStab_CDRonHit,@Upgrade_Sword_ReverseStab_CDRonHit_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability01_Mod02.png,,,,,,Sword,,Ability_Sword_ReverseStab,,0,4,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,false,0,,,,,,,,1H_Sword_Attack_Stab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,Ability_Sword_ReverseStab,AllExcept,,-0.25,,,,
Ability_Sword_WhirlingBlade,@Ability_Sword_WhirlingBlade,@Ability_Sword_WhirlingBlade_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability02.png,,Play_UI_WeaponSkills_Sword_Ability_2,,,,Sword,,,,0,0,2,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,true,0,,,,,,,,1H_Sword_Attack_Spin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Sword_WhirlingBlade,,,,,,,
Upgrade_Sword_WhirlingBlade_Rend,@Upgrade_Sword_WhirlingBlade_Rend,@Upgrade_Sword_WhirlingBlade_Rend_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability02_Mod01.png,,,,,,Sword,,Ability_Sword_WhirlingBlade,,0,1,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,false,0,,,,,,,,1H_Sword_Attack_Spin,,,,,,,,,IgnoreDebuffs,,NotEqual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_Upgrade_Sword_WhirlingBlade_Rend,,,,,,,,,,,,,,,,,,,,,
Upgrade_Sword_WhirlingBlade_CDR,@Upgrade_Sword_WhirlingBlade_CDR,@Upgrade_Sword_WhirlingBlade_CDR_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability02_Mod02.png,,,,,,Sword,,Ability_Sword_WhirlingBlade,,0,3,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,false,0,,,,,,,,1H_Sword_Attack_Spin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Sword_WhirlingBlade,AbilitySpecific,,-0.05,,,,
Ability_Sword_LeapingStrike,@Ability_Sword_LeapingStrike,@Ability_Sword_LeapingStrike_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability03.png,,Play_UI_WeaponSkills_Sword_Ability_3,,,,Sword,,,,0,2,4,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Sword_LeapingStrike,,,,,,,
Upgrade_Sword_LeapingStrike_Extra,@Upgrade_Sword_LeapingStrike_Extra,@Upgrade_Sword_LeapingStrike_Extra_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability03_Mod01.png,,,,,,Sword,,Ability_Sword_LeapingStrike,,0,3,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,false,0,,,,,,,,1H_Sword_Attack_Charge,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Sword_LeapingStrike_Slow,@Upgrade_Sword_LeapingStrike_Slow,@Upgrade_Sword_LeapingStrike_Slow_description,Melee Damage,lyshineui/images/icons/abilities/sword_Ability03_Mod02.png,,,,,,Sword,,Ability_Sword_LeapingStrike,,0,4,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,false,0,,,,,,,,1H_Sword_Attack_Charge,,,,,,,,,IgnoreDebuffs,,NotEqual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_Upgrade_Sword_LeapingStrike_Slow,,,,,,,,,,,,,,,,,,,,,
Passive_Sword_Swordmaster_DmgOnHeavy,@Passive_Sword_Swordmaster_DmgOnHeavy,@Passive_Sword_Swordmaster_DmgOnHeavy_description,Passive,lyshineui/images/icons/abilities/sword_Passive01.png,,,,,,Sword,,,,0,0,3,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,false,0,,,,,,,,,,,Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_Passive_Sword_Swordmaster_DmgOnHeavy,,,,,,,,,,,,,,,,,,,,,,
