AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,MaxTrackedHitCounts,ResetConsecutiveOnSuccess,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,HasGritActive,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,IgnoreDisabledAttackTypes,DamageTypes,StatusEffect,StatusEffectCategories,DontHaveStatusEffect,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,MaxNumAroundMe,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,TargetVitalsCategory,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,stagger damage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,RangedAttackNameOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Ability_Greataxe_Charge,@Ability_Greataxe_Charge,@Ability_Greataxe_Charge_description,Attack,lyshineui/images/icons/abilities/GreatAxe_Ability01.png,,Play_UI_WeaponSkills_GreatAxe_Ability_1,,,,GreatAxe,,0,2,0,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,GreatAxe_Engage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engaged,,,,,,,
Upgrade_Greataxe_Charge_DmgPerDistance,@Upgrade_Greataxe_Charge_DmgPerDistance,@Upgrade_Greataxe_Charge_DmgPerDistance_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability01_Mod01.png,,,,,,GreatAxe,Ability_Greataxe_Charge,0,3,0,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greataxe_Charge_SwingAttack,@Upgrade_Greataxe_Charge_SwingAttack,@Upgrade_Greataxe_Charge_SwingAttack_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability01_Mod02.png,,,,,,GreatAxe,Ability_Greataxe_Charge,0,4,0,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Greataxe_Reap,@Ability_Greataxe_Reap,@Ability_Greataxe_Reap_description,Attack,lyshineui/images/icons/abilities/GreatAxe_Ability02.png,,Play_UI_WeaponSkills_GreatAxe_Ability_2,,,,GreatAxe,,0,1,2,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JudgementsReach,,,,,,,
Upgrade_Greataxe_Reap_RngInc,@Upgrade_Greataxe_Reap_RngInc,@Upgrade_Greataxe_Reap_RngInc_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability02_Mod01.png,,,,,,GreatAxe,Ability_Greataxe_Reap,0,2,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greataxe_Reap_Lifesteal,@Upgrade_Greataxe_Reap_Lifesteal,@Upgrade_Greataxe_Reap_Lifesteal_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability02_Mod02.png,,,,,,GreatAxe,Ability_Greataxe_Reap,0,3,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,true,0,,3,LessThanOrEqual,,,,,,"GreatAxe_JudgementsReach,GreatAxe_JudgementsReach_FA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greataxe_Reap_SpingAttack,@Upgrade_Greataxe_Reap_SpingAttack,@Upgrade_Greataxe_Reap_SpingAttack_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability02_Mod03.png,,,,,,GreatAxe,Ability_Greataxe_Reap,0,4,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Greataxe_Executioner,@Ability_Greataxe_Executioner,@Ability_Greataxe_Executioner_description,Attack,lyshineui/images/icons/abilities/GreatAxe_Ability03.png,,Play_UI_WeaponSkills_GreatAxe_Ability_3,,,,GreatAxe,,0,0,4,true,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,GreatAxe_Executioner,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Executioner,,,,,,,
Upgrade_Greataxe_Executioner_AddGrit,@Upgrade_Greataxe_Executioner_AddGrit,@Upgrade_Greataxe_Executioner_AddGrit_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability03_Mod01.png,,,,,,GreatAxe,Ability_Greataxe_Executioner,0,1,4,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Greataxe_Executioner_CritVsLowHP,@Upgrade_Greataxe_Executioner_CritVsLowHP,@Upgrade_Greataxe_Executioner_CritVsLowHP_description,Passive,lyshineui/images/icons/abilities/GreatAxe_Ability03_Mod02.png,,,,,,GreatAxe,Ability_Greataxe_Executioner,0,2,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,,,,,,,,,GreatAxe_Executioner,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
