AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,IsStackableAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnEventPassiveConditionsPass,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnCritTaken,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnDeath,OnDeathsDoor,OnHasDied,OnBlockBreak,OnTargetBlockBreak,OnTargetSet,OnContributedKill,OnHealthChanged,OnStatusEffectApplied,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,ResetConsecutiveOnSuccess,DamageIsRanged,DamageIsMelee,AllowSelfDamageForHitEvents,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,CheckOwnedStatusEffects,StatusEffect,StatusEffectCategories,StatusEffectStackSize,StatusEffectComparison,DontHaveStatusEffect,StatusEffectBeingApplied,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,LinearlyScaleToDistance,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,ManaRate,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,PowerLevelOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SelfApplyStatusEffectDurations,DoNotUnequipSelfAppliedSE,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,NumStatusEffectsToRemove,NumStatusEffectStacksToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus,KnockbackReduction
AI_PalatineGuards_NearbyCheck0,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_PalatineGuards_NearbyCheck,,0,Equal,,AI_PalatineGuards_NearbyCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AbilitySpecific,"AI_PalatineGuards_SmallSquad,AI_PalatineGuards_FullSquad,AI_PalatineGuards_Fortify1",,,,,,,,,,,,,,,,,
AI_PalatineGuards_NearbyCheck1,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_PalatineGuards_NearbyCheck,,1,Equal,,AI_PalatineGuards_NearbyCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,AbilitySpecific,"AI_PalatineGuards_SmallSquad,AI_PalatineGuards_FullSquad,AI_PalatineGuards_Fortify1",,,,,,,,,,,,,,,,,
AI_PalatineGuards_NearbyCheck2,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_PalatineGuards_NearbyCheck,,2,Equal,,AI_PalatineGuards_NearbyCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI_PalatineGuards_SmallSquad,AI_PalatineGuards_Fortify1",,,,,,,,1,AbilitySpecific,"AI_PalatineGuards_FullSquad,AI_PalatineGuards_Fortify2",,,,,,,,,,,,,,,,,
AI_PalatineGuards_NearbyCheck3,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_PalatineGuards_NearbyCheck,,3,Equal,,AI_PalatineGuards_NearbyCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI_PalatineGuards_SmallSquad,AI_PalatineGuards_Fortify2",,,,,,,,1,AbilitySpecific,"AI_PalatineGuards_FullSquad,AI_PalatineGuards_Fortify3,AI_PalatineGuards_Fortify1",,,,,,,,,,,,,,,,,
AI_PalatineGuards_NearbyCheck4,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_PalatineGuards_NearbyCheck,,4,Equal,,AI_PalatineGuards_NearbyCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI_PalatineGuards_FullSquad,AI_PalatineGuards_Fortify3",,,,,,,,1,AbilitySpecific,"AI_PalatineGuards_SmallSquad,AI_PalatineGuards_Fortify2",,,,,,,,,,,,,,,,,
AI_PalatineHalberd_LostPull,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,,,,,,,,,,,,Lost_Pull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI_PalatineHalberd_LostPullHit,,,,,,,,,,,,AI_Thorpe_Force_Grab_Tracker,,,,,,,,,,,,,,,
AI_PalatineHalberd_LostPull_Detection,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,,,,,,,,,,,,Lost_Pull_Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI_PalatineHalberd_LostPull_Empower,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_IoN_BroadcastHalfHealth_Signal,,,,,,,,,,,,,,,,,true,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LessThanOrEqual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI_IoN_EncManagement_PGPhase1BroadcasterValidator,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_IoN_SignaltoStackProcessor_Death_Shield,,,,,,,,,,,,,,,,,true,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_IoN_EncManagement_PGDeathSignal_Shield,,,,,AI_IoN_EncManagement_PGDeathSignal_Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI_IoN_EncManagement_PGDeathStack_Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_IoN_SignaltoStackProcessor_Death_Bow,,,,,,,,,,,,,,,,,true,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,,,,,,,,,,,AI_IoN_EncManagement_PGDeathSignal_Bow,,,,,AI_IoN_EncManagement_PGDeathSignal_Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI_IoN_EncManagement_PGDeathStack_Bow,,,,,,,,,,,,,,,,,,,,,,,,,,,
