ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
99D_MSQ_01_Galahad_Resupply,@99D_MSQ_01_Galahad_Resupply_prompt,@99D_MSQ_01_Galahad_Resupply_response,,,,
99D_MSQ_01_Yash_RescueWarden,@99D_MSQ_01_Yash_RescueWarden_prompt,@99D_MSQ_01_Yash_RescueWarden_response,,,,
99D_MSQ_01_Judithe_RescueWarden,@99D_MSQ_01_Judithe_RescueWarden_prompt,@99D_MSQ_01_Judithe_RescueWarden_response,,,,
99D_MSQ_01_Pedro_RescueWarden,@99D_MSQ_01_Pedro_RescueWarden_prompt,@99D_MSQ_01_Pedro_RescueWarden_response,,,,
99D_MSQ_03_Yonas_ThorpeNews,@99D_MSQ_03_Yonas_ThorpeNews_prompt,@99D_MSQ_03_Yonas_ThorpeNews_response,,,,
99D_MSQ_05_Galahad_westoutpost,@99D_MSQ_05_Galahad_westoutpost_prompt,@99D_MSQ_05_Galahad_westoutpost,,,,
99D_MSQ_05_Yash_ExchangeInfo,@99D_MSQ_05_Yash_ExchangeInfo_prompt,@99D_MSQ_05_Yash_ExchangeInfo_response,,,,
99D_MSQ_07_Ofusa_RescuePortal,@99D_MSQ_07_Ofusa_RescuePortal_prompt,@99D_MSQ_07_Ofusa_RescuePortal_response,,,,
99D_MSQ_07_Jacquet_RescuePortal,@99D_MSQ_07_Jacquet_RescuePortal_prompt,@99D_MSQ_07_Jacquet_RescuePortal_response,,,,
99D_MSQ_07_Yash_Portal,@99D_MSQ_07_Yash_Portal_prompt,@99D_MSQ_07_Yash_Portal_response,,,,
99D_MSQ_09_Grace_Supplies,@99D_MSQ_09_Grace_Supplies_prompt,@99D_MSQ_09_Grace_Supplies_response,,,,
99D_MSQ_09_Yonas_Medicine,@99D_MSQ_09_Yonas_Medicine_prompt,@99D_MSQ_09_Yonas_Medicine_response,,,,
99D_MSQ_09_Yash_Medicine,@99D_MSQ_09_Yash_Medicine_prompt,@99D_MSQ_09_Yash_Medicine_response,,,,
99D_MSQ_10_Galahad_DefendCaerDun,@99D_MSQ_10_Galahad_DefendCaerDun_prompt,@99D_MSQ_10_Galahad_DefendCaerDun_response,,,,
99D_MSQ_10_Yonas_CaerDun,@99D_Yonas_CaerDun_prompt,@99D_Yonas_CaerDun_response,,,,
