ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
12A_Don,@12A_Don_Prompt,@12A_Don_Response_a,,,,
12A_Shae,@12A_Shae_Prompt,@12A_Shae_Response_a,,,,
12A_Shazaan,@12A_Shazaan_Prompt,@12A_Shazaan_Response_a,,,,
12A_Tomira,@12A_Tomira_Prompt,@12A_Tomira_Response_a,,,,
12A_Chandu,@12A_Chandu_Prompt,@12A_Chandu_Response_a,,,,
12A_MSQ_06_ToMiclot_TalkLochnir,@12A_MSQ_06_ToMiclot_TalkLochnir_new_prompt,@12A_MSQ_06_ToMiclot_TalkLochnir_new,,,,
12A_MSQ_10_ConfrontLochnir_TalkMoira,@12A_MSQ_10_ConfrontLochnir_TalkMoira_prompt,@12A_MSQ_10_ConfrontLochnir_TalkMoira_a,,,,
12_03_MSQ_10_Lochnir_Explains,@12A_MSQ_10_Lochnir_Explains_prompt,@12A_MSQ_10_Lochnir_Explains_a_new,12A_LochnirTalk01,,,
12_02_MSQ_12_SerPayneBennett,@12A_MSQ_12_CampTutorial_TalkTo_Prompt,@12A_MSQ_12_CampTutorial_TalkTo_Response_a,12A_PayneTalk02,,,
12_12_MSQ_15_GraceOMalleyPre,@12A_MSQ_15_DefeatNavigator_TalkGracePre_prompt,@12A_MSQ_15_DefeatNavigator_TalkGracePre_a,12A_Grace15A,,,
12_11_MSQ_15_GraceOMalley,@12A_MSQ_15_DefeatNavigator_TalkTo_Prompt,@12A_MSQ_15_DefeatNavigator_TalkTo_Response_a,12A_Grace15,,,
12A_MSQ_17_LochnirsNotes_TalkMoira,@12A_MSQ_17_LochnirsNotes_TalkTo_Prompt_new,@12A_MSQ_17_LochnirsNotes_TalkTo_Response_a_new,,,,
12A_MSQ_17_LochnirsNotes_TalkLochnir,@12A_MSQ_17_LochnirsNotes_TalkLochnir_Prompt,@12A_MSQ_17_LochnirsNotes_TalkLochnir_Response_a,,,,
12A_MSQ_19_RegentJinJae,@12A_MSQ_19_MeetPercilla_TalkTo_Prompt_new,@12A_MSQ_19_MeetPercilla_TalkTo_Response_a_new,,,,
12A_MSQ_21_FindGrace_TalkRegent,@12A_MSQ_21_FindGrace_TalkRegent_Prompt,@12A_MSQ_21_FindGrace_TalkRegent_a,,,,
12_01_MSQ_04_SerPayneBennett,@12A_MSQ_04_TalktoPayne_prompt,@12A_MSQ_04_TalktoPayne_a,12A_PayneTalk01,,,
1225_Giacomo_HousingGeneral,@1225_Giacomo_HousingGeneral_Prompt,@1225_Giacomo_HousingGeneral_Response_a,,S_downpayment,,
1225_Giacomo_HousingStorage,@1225_Giacomo_HousingStorage_Prompt,@1225_Giacomo_HousingStorage_Response_a,,12_Quest_Housing_3b,,
1225_Giacomo_HousingTrophy,@1225_Giacomo_HousingTrophy_Prompt,@1225_Giacomo_HousingTrophy_Response_a,,12_Quest_Housing_6,,
