ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
95A_Sadiki_Topic01,@95A_S02_GlimpseofthePast_TalkSage_Prompt,@95A_S02_GlimpseofthePast_TalkSage,,,,,
95A_Sharif_Topic01,@95A_S02_WordofaThief_MeetSharif_Prompt,@95A_S02_WordofaThief_MeetSharif,,,,,
95A_Sharif_Topic01a,@95A_S02_WordofaThief_FreeSharif_Prompt,@95A_S02_WordofaThief_FreeSharif,,,,,
95A_Sharif_Topic02,@95A_S02_HardBoiled_TalkSharif_Prompt,@95A_S02_HardBoiled_TalkSharif,,,,,
95A_Sharif_Topic03,@95A_S02_SecondThoughts_TalkSharif_Prompt,@95A_S02_SecondThoughts_TalkSharif,,,,,
95A_Sharif_Topic04,@95A_S02_SecondThoughts_HideSharif_Prompt,@95A_S02_SecondThoughts_HideSharif,,,,,
95A_Sharif_Topic05,@95A_S02_SecondThoughts_AmbushSharif_Prompt,@95A_S02_SecondThoughts_AmbushSharif,,,,,
95A_Sharif_Topic06,@95A_S02_HeiroftheSands_TalkSharif_Prompt,@95A_S02_HeiroftheSands_TalkSharif,,,,,
95A_Sharif_Topic07,@95A_S02_HeiroftheSands_MeetSharif_Prompt,@95A_S02_HeiroftheSands_MeetSharif,,,,,
95A_Sharif_Topic08,@95A_S02_EmptyNest_TalkSharif_Prompt,@95A_S02_EmptyNest_TalkSharif,,,,,
95A_Sharif_Topic09,@95A_S02_BreakSomeEggs_TalkSharif_Prompt,@95A_S02_BreakSomeEggs_TalkSharif,,,,,
95A_Sharif_Topic10,@95A_S02_LegacyoftheSands_TalkSharif_Prompt,@95A_S02_LegacyoftheSands_TalkSharif,,,,,
95A_Sharif_Topic11,@95A_S02_Remembrance_TalkSharif_Prompt,@95A_S02_Remembrance_TalkSharif,,,,,
95A_Rima_Topic01,@95A_S02_VoicesoftheDesert_TalkRima_Prompt,@95A_S02_VoicesoftheDesert_TalkRima,,,,,
95A_Rima_Topic02,@95A_S02_VoicesoftheDesert_RimaSong_Prompt,@95A_S02_VoicesoftheDesert_RimaSong,,,,,
95A_Rima_Topic03,@95A_S02_VoicesoftheDesert_RimaJoin_Prompt,@95A_S02_VoicesoftheDesert_RimaJoin,,,,,
95A_Rima_Topic04,@95A_S02_SecondThoughts_TalkRima_Prompt,@95A_S02_SecondThoughts_TalkRima,,,,,
95A_Rima_Topic05,@95A_S02_EggHunt_TalkRima_Prompt,@95A_S02_EggHunt_TalkRima,,,,,
95A_Rima_Topic06,@95A_S02_Remembrance_TalkRima_Prompt,@95A_S02_Remembrance_TalkRima,,,,,
95A_Zander_Topic01,@95A_S02_VoicesoftheDesert_TalkZander_Prompt,@95A_S02_VoicesoftheDesert_TalkZander,,,,,
95A_Zander_Topic02,@95A_S02_EggHunt_TalkZander_Prompt,@95A_S02_EggHunt_TalkZander,,,,,
95A_Zander_Topic03,@95A_S02_EggHunt_MeetZander_Prompt,@95A_S02_EggHunt_MeetZander,,,,,
95A_Zander_Topic04,@95A_S02_PrecariousPosition_ZanderRuins_Prompt,@95A_S02_PrecariousPosition_ZanderRuins,,,,,
95A_Zander_Topic05,@95A_S02_HeiroftheSands_TalkZander_Prompt,@95A_S02_HeiroftheSands_TalkZander,,,,,
95A_Jackal_Topic01,@95A_S02_VoicesoftheDesert_TalkJackal_Prompt,@95A_S02_VoicesoftheDesert_TalkJackal,,,,,
