ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
0601_Watcher_Death,@0601_Watcher_Death_Prompt,@0601_Watcher_Death_Response,,,,
0601_Watcher_Corruption,@0601_Watcher_Corruption_Prompt,@0601_Watcher_Corruption_Response,,,,
0602_Magistrate_Windsward,@0602_Magistrate_Windsward_Prompt,@0602_Magistrate_Windsward_Response,,,,
0622_Magistrate_Faction,@0602_Magistrate_Factions_Prompt,@0602_Magistrate_Factions_Response,,,,
0602_Magistrate_FactionsReady,@0602_Magistrate_FactionsReady_Prompt,@0602_Magistrate_Factions_Response,S_factionchoiceready,S_factiontalkedto,,
0622_Innkeep_WhereNow,@0622_Innkeep_WhereNow_Prompt,@0622_Innkeep_WhereNow_Response,,,,
0622_Innkeep_WhyHouse,@0622_Innkeep_WhyHouse_Prompt,@0622_Innkeep_WhyHouse_Response,,,,
0603_Survivalist_01,@0603_Survivalist_01_Prompt,@0603_Survivalist_01_Response,,,,
0602_Marauder_talk,@0602_Marauder_talk_Prompt,@0602_Marauder_talk_Response,S_introtomarauders,S_introtoallfactions_accepted,,
0602_Syndicate_talk,@0602_Syndicate_talk_Prompt,@0602_Syndicate_talk_Response,S_introtosyndicate,S_introtoallfactions_accepted,,
0602_Covenant_talk,@0602_Covenant_talk_Prompt,@0602_Covenant_talk_Response,S_introtocovenant,S_introtoallfactions_accepted,,
0602_Marauder_dye_talk,@0602_Marauder_dye_talk_Prompt,@0602_Marauder_dye_talk_Response,,S_marauderquest1,,
0602_Syndicate_dye_talk,@0602_Syndicate_dye_talk_Prompt,@0602_Syndicate_dye_talk_Response,,S_syndicatequest1,,
0602_Covenant_dye_talk,@0602_Covenant_dye_talk_Prompt,@0602_Covenant_dye_talk_Response,,S_covenantquest1,,
