ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
06_MSQ_01_TalkFrancis,@06A_MSQ_01_TalkFrancis_prompt_new,@06A_MSQ_01_TalkFrancis_a_new,,,,,
0612_TalkBard,@0612_MSQ_03_TalkBard_prompt,@0612_MSQ_03_TalkBard_response,,,,,"0612_TalkBard_passion,0612_TalkBard_intellect,0612_TalkBard_joker"
0612_TalkBard_passion,@0612_MSQ_03_TalkBard_passionPrompt,@0612_MSQ_03_TalkBard_passionResponse,narrativeprofile_passion_stillwater,,,,
0612_TalkBard_intellect,@0612_MSQ_03_TalkBard_intellectPrompt,@0612_MSQ_03_TalkBard_intellectResponse,narrativeprofile_intellect_stillwater,,,,
0612_TalkBard_joker,@0612_MSQ_03_TalkBard_jokerPrompt,@0612_MSQ_03_TalkBard_jokerResponse,narrativeprofile_joker_stillwater,,,,
06_FrancisTurner_Lost,@06_FrancisTurner_Lost_prompt,@06_FrancisTurner_Lost_response_a,,,,,
06_SaatvikAgrawal_Windmills,@06_SaatvikAgrawal_Windmills_prompt,@06_SaatvikAgrawal_Windmills_response_a,,,,,
06_LijsbetDeVries_Trapped,@06A_MSQ_06_FarmerLijsbet_Bark_prompt,@06A_MSQ_06_FarmerLijsbet_Bark,,,,,
06_MichaelLewis_Trapped,@06A_MSQ_06_FarmerMichael_Bark_prompt,@06A_MSQ_06_FarmerMichael_Bark,,,,,
06_NessaHarrower_Trapped,@06A_MSQ_06_DruidNessa_Bark_prompt,@06A_MSQ_06_DruidNessa_Bark_new,,,,,
06_MichaelLewis_Farm,@06_MichaelLewis_Farm_prompt,@06_MichaelLewis_Farm_response_a,,,,,
06_LijsbetDeVries_Farm,@06_LijsbetDeVries_Farm_prompt,@06_LijsbetDeVries_Farm_response_a,,,,,
06A_MSQ_06_RescueFarmers_TalkNessa,@06A_MSQ_06_RescueFarmers_Nessa_talkto_prompt,@06A_MSQ_06_RescueFarmers_Nessa_talkto_a,,,,,
06_NessaHarrower_Druids,@06_NessaHarrower_Druids_prompt,@06_NessaHarrower_Druids_response_a,,,,,
06_LeovixSilva_Fallen,@06_LeovixSilva_Fallen_prompt,@06_LeovixSilva_Fallen_response_a,,,,,
06_GideonStormsbane_Rescue,@06_GideonStormsbane_Rescue_prompt_new,@06_GideonStormsbane_Rescue_response_new,,,,,
06_FrancisTurner_Tribute,@06_FrancisTurner_Tribute_prompt,@06_FrancisTurner_Tribute_response_a,,,,,
06_MarcelDupont_Tribute,@06_MarcelDupont_Tribute_prompt,@06_MarcelDupont_Tribute_response_a,,,,,
06_GraceOMalley_Pirates,@06_GraceOMalley_Pirates_prompt,@06_GraceOMalley_Pirates_response_a_new,,,,,
06A_MSQ_13_ReturnMiradorJewel_TalkGrace,@06A_MSQ_13_ReturnMiradorJewel_TalkGrace_prompt,@06A_MSQ_13_ReturnMiradorJewel_TalkGrace,,,,,
06_NessaHarrower_Success,@06A_MSQ_13_ReturnMiradorJewel_Nessa_prompt_new,@06A_MSQ_13_ReturnMiradorJewel_Nessaresponse_a_new,,,,,
06_LeovixSilva_Betrayal,@06_LeovixSilva_Betrayal_prompt_new,@06_LeovixSilva_Betrayal_response_a_new,,,,,
06_MarcelDupont_Jewel,@06_MarcelDupont_Jewel_prompt_new,@06_MarcelDupont_Jewel_response_new,,,,,
06_FrancisTurner_Jewel,@06_FrancisTurner_Jewel_prompt_new,@06_FrancisTurner_Jewel_response_a_new,,,,,
06_Medea_Eldergate,@06_Medea_Eldergate_prompt,@06_Medea_Eldergate_response_a,,,,,
06_SaatvikAgrawal_NewSpeaker,@06_SaatvikAgrawal_NewSpeaker_prompt,@06_SaatvikAgrawal_NewSpeaker_response_a,,,,,
06_NessaHarrower_Korrapati,@06_NessaHarrower_Korrapati_prompt,@06_NessaHarrower_Korrapati_response_a,,,,,
06_LeovixSilva_Closure,@06_LeovixSilva_Closure_prompt_new,@06_LeovixSilva_Closure_response_a_new,,,,,
06_NessaHarrower_OtherJewel,@06A_MSQ_14_SolveMapPuzzle_proposal_next_prompt,@06A_MSQ_14_SolveMapPuzzle_proposal_next_a,,,,,
06_GraceOMalley_ToTown,@06A_MSQ_14_SolveMapPuzzle_proposal_next2_prompt,@06A_MSQ_14_SolveMapPuzzle_proposal_next2_a,,,,,
06_GraceOMalley_Revolution,@06_GraceOMalley_Revolution_prompt,@06_GraceOMalley_Revolution_response_a,,,,,
06_SaatvikAgrawal_Pirates,@06_SaatvikAgrawal_Pirates_prompt,@06_SaatvikAgrawal_Pirates_response_a,,,,,
06_NessaHarrower_Jewel,@06_NessaHarrower_Jewel_prompt,@06_NessaHarrower_Jewel_response_a,,,,,
06_LeovixSilva_Caravan,@06_LeovixSilva_Caravan_prompt,@06_LeovixSilva_Caravan_response_a,,,,,
06_Medea_Tribute,@06_Medea_Tribute_prompt,@06_Medea_Tribute_response_a,,,,,
06_AhuraFarid_SpreadJoy,@06_AhuraFarid_SpreadJoy_prompt,@06_AhuraFarid_SpreadJoy_response_a,,,,,
06_PriyaThakur_SpreadJoy,@06_PriyaThakur_SpreadJoy_prompt,@06_PriyaThakur_SpreadJoy_response_a,,,,,
06_UtkarshSingh_SpreadJoy,@06_UtkarshSingh_SpreadJoy_prompt,@06_UtkarshSingh_SpreadJoy_response_a,,,,,
