ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
Topic_99B_Yonas_p1_01,@99B_MSQ_01_searchwalsham_yonas_talkto_prompt,@99B_MSQ_01_searchwalsham_yonas_talkto,,,,
Topic_99B_Galahad_p1_01,@99B_MSQ_02_meetgalahad_galahad_talktoA_prompt,@99B_MSQ_02_meetgalahad_galahad_talktoA,,,,
Topic_99B_Galahad_p1_02,@99B_MSQ_02_meetgalahad_galahad_talktoB_prompt,@99B_MSQ_02_meetgalahad_galahad_talktoB,,,,
Topic_99B_Yonas_p3_01,@99B_MSQ_02_meetgalahad_yonas_talktoA_prompt,@99B_MSQ_02_meetgalahad_yonas_talktoA,,,,
Topic_99B_Galahad_p3_01,@99B_MSQ_03_lostvillages_galahad_talkto_prompt,@99B_MSQ_03_lostvillages_galahad_talkto,,,,
Topic_99B_Yonas_p5_01,@99B_MSQ_05_findingfort_yonas_talkto_prompt,@99B_MSQ_05_findingfort_yonas_talkto,,,,
Topic_99B_Grace_p1_01,@99B_MSQ_05_findingfort_grace_talktoA_prompt,@99B_MSQ_05_findingfort_grace_talktoA,,,,
Topic_99B_Grace_p1_02,@99B_MSQ_05_findingfort_grace_talktoB_prompt,@99B_MSQ_05_findingfort_grace_talktoB,,,,
Topic_99B_Pennyfather_01,@99B_MSQ_06_lostcathedral_pennyfather_talktoA_prompt,@99B_MSQ_06_lostcathedral_pennyfather_talktoA,,,,
Topic_99B_Pennyfather_03,@99B_MSQ_06_lostcathedral_pennyfather_talktoB_prompt,@99B_MSQ_06_lostcathedral_pennyfather_talktoB,,,,
Topic_99B_Sun_p1_01,@99B_MSQ_07_cursedcemetery_sun_talkto_prompt,@99B_MSQ_07_cursedcemetery_sun_talkto,,,,
Topic_99B_Galahad_p5_01,@99B_MSQ_07_cursedcemetery_galahad_talkto_prompt,@99B_MSQ_07_cursedcemetery_galahad_talkto,,,,
Topic_99B_Sun_p2_02,@99B_MSQ_08_azothtree_sun_talkto_prompt,@99B_MSQ_08_azothtree_sun_talkto,,,,
Topic_99B_Sun_p3_01,@99B_MSQ_10_cleansefort_sun_talktoA_prompt,@99B_MSQ_10_cleansefort_sun_talktoA,,,,
Topic_99B_Yonas_p7_01,@99B_MSQ_10_cleansefort_yonas_talkto_prompt,@99B_MSQ_10_cleansefort_yonas_talkto,,,,
Topic_99B_Sun_p4_01,@99B_MSQ_10_cleansefort_sun_talktoB_prompt,@99B_MSQ_10_cleansefort_sun_talktoB,,,,
Topic_99B_Galahad_p7_02,@99B_MSQ_11_weaversvector_galahad_talkto_prompt,@99B_MSQ_11_weaversvector_galahad_talkto,,,,
Topic_99B_Pennyfather_05,@99B_MSQ_11_weaversvector_pennyfather_talktoA_prompt,@99B_MSQ_11_weaversvector_pennyfather_talktoA,,,,
Topic_99B_Pennyfather_06,@99B_MSQ_11_weaversvector_pennyfather_talktoB_prompt,@99B_MSQ_11_weaversvector_pennyfather_talktoB,,,,
Topic_99B_MorgenGrave_beauty_correct,@99B_MSQ_06_lostcathedral_gravetopic_beauty,@99B_MSQ_06_lostcathedral_gravetopic_placed,,!99B_MSQ_06_GravePuzzle_Beauty,,
Topic_99B_MorgenGrave_beauty_incorrect,@99B_MSQ_06_lostcathedral_gravetopic_beauty,@99B_MSQ_06_lostcathedral_gravetopic_placed_wrong,,!99B_MSQ_06_GravePuzzle_Beauty,,
Topic_99B_MorgenGrave_family_correct,@99B_MSQ_06_lostcathedral_gravetopic_family,@99B_MSQ_06_lostcathedral_gravetopic_placed,,!99B_MSQ_06_GravePuzzle_Family,,
Topic_99B_MorgenGrave_family_incorrect,@99B_MSQ_06_lostcathedral_gravetopic_family,@99B_MSQ_06_lostcathedral_gravetopic_placed_wrong,,!99B_MSQ_06_GravePuzzle_Family,,
Topic_99B_MorgenGrave_hunter_correct,@99B_MSQ_06_lostcathedral_gravetopic_hunter,@99B_MSQ_06_lostcathedral_gravetopic_placed,,!99B_MSQ_06_GravePuzzle_Hunter,,
Topic_99B_MorgenGrave_hunter_incorrect,@99B_MSQ_06_lostcathedral_gravetopic_hunter,@99B_MSQ_06_lostcathedral_gravetopic_placed_wrong,,!99B_MSQ_06_GravePuzzle_Hunter,,
