ProgressionPointId,Description,PointPoolId,IsAbility,DoNotSpendPoint,PoolCategory,TerritoryBonusCategory,MaxLevel,RequiredCharacterLevel,RequiredCategoricalProgressionId,RequiredCategoricalProgressionLevel,RequiredProgressionPointId,RequiredProgressionPointLevel,UpgradeCardDescription,UpgradeCardSprite,UpgradeCardIcon,UpgradeCardCategory,UpgradeCardStat
TEMP_Crafting_Speicalization_Blacksmithing_Sword,,TEMP_Crafting_Specialization_Blacksmithing,FALSE,,,,4,,,,,,,,,,
TEMP_Crafting_Speicalization_Blacksmithing_Sword_Master,,TEMP_Crafting_Specialization_Blacksmithing,FALSE,,,,1,,,,TEMP_Crafting_Speicalization_Blacksmithing_Sword,4,,,,,
TEMP_Crafting_Speicalization_Blacksmithing_Rapier,,TEMP_Crafting_Specialization_Blacksmithing,FALSE,,,,4,,,,,,,,,,
TEMP_Crafting_Speicalization_Blacksmithing_Rapier_Master,,TEMP_Crafting_Specialization_Blacksmithing,FALSE,,,,1,,,,TEMP_Crafting_Speicalization_Blacksmithing_Rapier,4,,,,,
TEMP_Crafting_Speicalization_Blacksmithing_Club,,TEMP_Crafting_Specialization_Blacksmithing,FALSE,,,,4,,,,,,,,,,
TEMP_Crafting_Speicalization_Blacksmithing_Club_Master,,TEMP_Crafting_Specialization_Blacksmithing,FALSE,,,,1,,,,TEMP_Crafting_Speicalization_Blacksmithing_Club,4,,,,,
TEMP_Crafting_Specialization_Alchemy_Potions,,TEMP_Crafting_Specialization_Alchemy,FALSE,,,,4,,,,,,,,,,
TEMP_Crafting_Specialization_Alchemy_Oils,,TEMP_Crafting_Specialization_Alchemy,FALSE,,,,4,,,,,,,,,,
TEMP_Crafting_Specialization_Outfitting_Pants,,TEMP_Crafting_Specialization_Outfitting,FALSE,,,,4,,,,,,,,,,
TEMP_Crafting_Specialization_Outfitting_Shirts,,TEMP_Crafting_Specialization_Outfitting,FALSE,,,,4,,,,,,,,,,
TB_GainStanding,,,FALSE,,Territory,GainStanding,102,,,,,,@ui_territory_standing_upgrade_description_increase_rate,LyShineUI/Images/Territory/StandingRewards/GainStanding.dds,LyShineUI/Images/Territory/StandingRewards/GainStanding_icon.dds,@ui_territory_standing_upgrade_category_standing_gain,@ui_territory_standing_upgrade_stat_territory_standing
TB_GainXP,,,FALSE,,Territory,GainXP,100,,,,,,@ui_territory_standing_upgrade_description_increase_rate,LyShineUI/Images/Territory/StandingRewards/ExperienceBoost.dds,LyShineUI/Images/Territory/StandingRewards/ExperienceBoost_icon.dds,@ui_territory_standing_upgrade_category_xp_gain,@ui_territory_standing_upgrade_stat_xp_gain
TB_GainStorage,,,FALSE,,Territory,GainStorage,100,,,,,,@ui_territory_standing_upgrade_description_increase_stat_no_territory,LyShineUI/Images/Territory/StandingRewards/Storage.dds,LyShineUI/Images/Territory/StandingRewards/Storage_icon.dds,@ui_territory_standing_upgrade_category_storage,@ui_territory_standing_upgrade_stat_storage
TB_GainGatherRate,,,FALSE,,Territory,GainGatherRate,101,,,,,,@ui_territory_standing_upgrade_description_increase_stat,LyShineUI/Images/Territory/StandingRewards/GatherBoost.dds,LyShineUI/Images/Territory/StandingRewards/GatherBoost_icon.dds,@ui_territory_standing_upgrade_category_gather,@ui_territory_standing_upgrade_stat_gathering_speed
TB_GainFactionRep,,,FALSE,,Territory,GainFactionRep,101,,,,,,@ui_territory_standing_upgrade_description_increase_rate,LyShineUI/Images/Territory/StandingRewards/FactionReputation.dds,LyShineUI/Images/Territory/StandingRewards/FactionReputation_icon.dds,@ui_territory_standing_upgrade_category_reputation,@ui_territory_standing_upgrade_stat_faction_rep
TB_GainHousePoints,,,FALSE,,Territory,GainHousePoints,97,,,,,,@ui_territory_standing_upgrade_description_increase_stat,LyShineUI/Images/Territory/StandingRewards/HousePoint.dds,LyShineUI/Images/Territory/StandingRewards/HousePoint_icon.dds,@ui_territory_standing_upgrade_category_housepoint,@ui_territory_standing_upgrade_stat_house_point
TB_TaxTradingPost,,,FALSE,,Territory,TradingTax,101,,,,,,@ui_territory_standing_upgrade_description_decrease_stat,LyShineUI/Images/Territory/StandingRewards/TradingTax.dds,LyShineUI/Images/Territory/StandingRewards/TradingTax_icon.dds,@ui_territory_standing_upgrade_category_trading_tax,@ui_territory_standing_upgrade_stat_trading_tax
TB_TaxStations,,,FALSE,,Territory,StationTax,101,,,,,,@ui_territory_standing_upgrade_description_decrease_stat,LyShineUI/Images/Territory/StandingRewards/StationFee.dds,LyShineUI/Images/Territory/StandingRewards/StationFee_icon.dds,@ui_territory_standing_upgrade_category_crafting_fee,@ui_territory_standing_upgrade_stat_crafting_fee
TB_TaxProperty,,,FALSE,,Territory,PropertyTax,97,,,,,,@ui_territory_standing_upgrade_description_decrease_stat,LyShineUI/Images/Territory/StandingRewards/PropertyTax.dds,LyShineUI/Images/Territory/StandingRewards/PropertyTax_icon.dds,@ui_territory_standing_upgrade_category_property_tax,@ui_territory_standing_upgrade_stat_property_tax
TB_PurchaseHouse,,,FALSE,TRUE,Territory,HousePurchase,1,,,1,,,@ui_territory_standing_upgrade_description_own_house,LyShineUI/Images/Territory/StandingRewards/HouseOwnership.dds,LyShineUI/Images/Territory/StandingRewards/HouseOwnership_icon.dds,@ui_territory_standing_upgrade_category_house_ownership,
Ability_Hatchet_Berserk,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Hatchet_Berserk_Speed,,HatchetAbilityTable,1,,,,10,,,,Ability_Hatchet_Berserk,1,,,,,
Upgrade_Hatchet_Berserk_HPOnEnd,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_Berserk_Speed,1,,,,,
Upgrade_Hatchet_Berserk_Purge,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_Berserk_HPOnEnd,1,,,,,
